Currency,Document Index (generated),Home Status,Room Type,Living Area Units,Bathrooms,Bedrooms,Latitude,Living Area,Longitude,Number of Records per prhouses.json,price,Zpid,pueblo
USD,1,FOR_RENT,APARTMENT,,1,1,18.466173,,-66.11643,1,2475,2090170449,Carolina
USD,2,FOR_RENT,APARTMENT,,2,2,18.451313,,-66.057495,1,3400,2068710500,Carolina
USD,3,FOR_RENT,APARTMENT,Square Feet,1,2,18.451313,1300,-66.057495,1,2500,2065733445,Carolina
USD,4,FOR_RENT,APARTMENT,Square Feet,1.5,2,18.46526,950,-66.113914,1,2550,2077472499,Carolina
USD,5,FOR_RENT,APARTMENT,,1.5,1,18.465149,,-66.105064,1,3100,2068723185,Carolina
USD,6,FOR_RENT,APARTMENT,,2,3,18.452929,,-66.08449,1,3200,2067841052,Carolina
USD,7,FOR_RENT,CONDO,Square Feet,2,2,18.452929,1308,-66.08449,1,2980,2065694475,Carolina
USD,8,FOR_RENT,CONDO,Square Feet,1,1,18.436432,500,-66.01017,1,2500,2063382904,Carolina
